Wavelength [nm],#37-06804-3-00.csv
443.95,0.04168924843982241
444.15,0.03423153847690633
444.36,0.049905525055379964
444.57,0.046735216768062145
444.77,0.049099605752730535
444.98,0.046087471720039276
445.19,0.0471793352551759
445.39,0.06490903158719989
445.6,0.032505310026010634
445.81,0.0526466754143558
446.01,0.057383105388748405
446.22,0.04801524930608971
446.43,0.05618366923450475
446.63,0.03218305696823265
446.84,0.05435433293784837
447.05,0.05034695714594991
447.25,0.047918361149971285
447.46,0.057752786513607546
447.67,0.04114904840639264
447.87,0.026463543327817887
448.08,0.057368408919923154
448.28,0.03720506329113926
448.49,0.06257894586537852
448.7,0.032943556720655284
448.9,0.057412868544795964
449.11,0.04402748448096568
449.32,0.03719957247375309
449.52,0.058663977618486206
449.73,0.05507517041740594
449.93,0.04801524930608971
450.14,0.05724844595705303
450.35,0.03780472673366902
450.55,0.0340053513188972
450.76,0.04044562636111934
450.97,0.06358161306951932
451.17,0.07453870692444503
451.38,0.06382654437828388
451.58,0.04678985545613387
451.79,0.05571467637703481
452.0,0.06231788262448808
452.2,0.05325573036742266
452.41,0.041708439195220784
452.62,0.05294406490614324
452.82,0.05520255078588917
453.03,0.05545702693992887
453.23,0.04804377169490302
453.44,0.05707064205749362
453.65,0.07536767280972272
453.85,0.053880353831534264
454.06,0.06206181023201754
454.26,0.061459244302047064
454.47,0.05656993529772615
454.68,0.047502061738194996
454.88,0.06808119469148331
455.09,0.05130203602452686
455.29,0.056904699523546154
455.5,0.04602607077759967
455.71,0.054577506212478546
455.91,0.05629016277154742
456.12,0.05880897951454043
456.32,0.07518369514966115
456.53,0.06396573033597827
456.73,0.055185012107566184
456.94,0.0757555743667501
457.15,0.04989313905221465
457.35,0.08092462525060745
457.56,0.06581999329800121
457.76,0.056628322384350435
457.97,0.07321935700609292
458.18,0.06464251634954285
458.38,0.06107988163048141
458.59,0.06598910186228783
458.79,0.08317537450088881
459.0,0.06189707222027727
459.2,0.06499785413363932
459.41,0.05793358508060124
459.62,0.07174570063053337
459.82,0.05793977329380436
460.03,0.07249168826190934
460.23,0.06023961353293987
460.44,0.0666537382020546
460.64,0.0624439377615194
460.85,0.06815386012565741
461.06,0.08334051247227588
461.26,0.06732850403699854
461.47,0.059699215688337394
461.67,0.08387069531267871
461.88,0.0616424464382001
462.08,0.07250706260284182
462.29,0.08009310938622224
462.49,0.0677482638273898
462.7,0.08039777457724008
462.91,0.09184612678641871
463.11,0.09165340648859469
463.32,0.0798745990681533
463.52,0.08592043776179756
463.73,0.08180459623192936
463.93,0.07070857411893355
464.14,0.07519750888308246
464.34,0.08604863481612407
464.55,0.08291349777084571
464.75,0.07559968190196358
464.96,0.07547240378012786
465.16,0.08681901323334743
465.37,0.06528122159607345
465.58,0.07356863015133193
465.78,0.0616947022626536
465.99,0.08523135490569304
466.19,0.08693800841903786
466.4,0.07314113661600023
466.6,0.08184992013608287
466.81,0.09807540767139238
467.01,0.08651906447440116
467.22,0.08244637290188496
467.42,0.07062891343762429
467.63,0.09170469164255948
467.83,0.07366743201958292
468.04,0.07523512222631588
468.24,0.08306146652344579
468.45,0.083225501949502
468.65,0.08374154130551184
468.86,0.08062704924886066
469.06,0.09046142554819003
469.27,0.08342772596315681
469.47,0.095237302354772
469.68,0.07938313383244383
469.88,0.08937337586751484
470.09,0.07778559435480682
470.29,0.0845383076439435
470.5,0.08588592608706566
470.7,0.09072219510617405
470.91,0.09173307042425854
471.11,0.10004104577496209
471.32,0.0903295592877803
471.52,0.08809259513326766
471.73,0.08841453529906973
471.93,0.09872447629907885
472.14,0.09017228854866169
472.34,0.09140553519244526
472.55,0.0714092263248172
472.75,0.09123023626967966
472.96,0.08498339305471249
473.16,0.09262712863281712
473.37,0.10203911842446989
473.57,0.09823431818834011
473.78,0.10636316465885258
473.98,0.09209978224450543
474.19,0.10224207678753135
474.39,0.0997765570307879
474.6,0.09783256765417779
474.8,0.10617878482990102
475.01,0.10686836040380732
475.21,0.10226405116916067
475.42,0.0980852511483529
475.62,0.10030434803780734
475.83,0.1074531112223255
476.03,0.11145207411693761
476.24,0.11428266223437879
476.44,0.10371710029283324
476.64,0.09748033895834576
476.85,0.09410388866637469
