Wavelength [nm],#8-IR-cutoff-700.csv
503.55,0.9226476097677896
503.75,0.9313801010869593
503.95,0.9197469945532976
504.16,0.9372207790156892
504.36,0.9392266663466661
504.56,0.9287826580830753
504.76,0.9536349007046494
504.97,0.9496354066901198
505.17,0.9516815348340789
505.37,0.9569594611148963
505.58,0.9418345322080817
505.78,0.9444560553467013
505.98,0.9634998123977334
506.18,0.9591164067605917
506.39,0.9682493181905482
506.59,0.9412634394266521
506.79,0.9559636396839787
507.0,0.938327594821575
507.2,0.9363814587304601
507.4,0.9802289212784431
507.6,0.9422043502285125
507.81,0.940374667519277
508.01,0.946679380319047
508.21,0.9632631791537117
508.41,0.9403104228873809
508.62,0.9490648795980349
508.82,0.9640766590372022
509.02,0.9604178065108397
509.23,0.9483695481319799
509.43,0.9295234101824473
509.63,0.9789831996178764
509.83,0.9531174290159112
510.04,0.9593411709645259
510.24,0.9730625008216809
510.44,0.9787247628921961
510.64,0.9867342968870589
510.85,0.959593119852739
511.05,0.9585992080933268
511.25,0.9623238701559687
511.45,0.9445144572275608
511.66,0.9520353681922271
511.86,0.9458252037795053
512.06,0.9496613723344152
512.26,0.9408832932927763
512.46,0.953313373755353
512.67,0.9479376436696211
512.87,0.9442956619917119
513.07,0.9624592319015888
513.27,0.9539330697290574
513.48,0.9362658751887851
513.68,0.9464543106796558
513.88,0.9368324508955697
514.08,0.9330261805758774
514.29,0.9364636837840277
514.49,0.9295940917204841
514.69,0.9270487666294578
514.89,0.9294953398448549
515.09,0.9195378015199666
515.3,0.932952950759886
515.5,0.9382237131799642
515.7,0.94588495191307
515.9,0.9403112592093311
516.11,0.9264079958528761
516.31,0.9293941184370735
516.51,0.942108602173734
516.71,0.929448917252921
516.91,0.9159286456706355
517.12,0.927901871111155
517.32,0.9421331814355977
517.52,0.9447854558944672
517.72,0.9027799160945811
517.92,0.9193671215035519
518.13,0.9228700113941833
518.33,0.9417742345189056
518.53,0.9349756163926166
518.73,0.9236593814255291
518.93,0.9178482476220555
519.14,0.9266644239622229
519.34,0.9025344644882948
519.54,0.9399797503447405
519.74,0.9255322856193978
519.94,0.9178287289593355
520.15,0.9157251214167071
520.35,0.926571366038883
520.55,0.9250361810280151
520.75,0.9160022782618085
520.95,0.9092834898162675
521.16,0.9173150689704808
521.36,0.9288225127446484
521.56,0.9053478597387928
521.76,0.919828829247872
521.96,0.9151573936352624
522.16,0.895043066889566
522.37,0.885656939732117
522.57,0.9094963443396705
522.77,0.9096061309008567
522.97,0.9115609557796815
523.17,0.9026774288613263
523.37,0.8922744083877423
523.58,0.896503476369604
523.78,0.8956614531585398
523.98,0.9067126290513068
524.18,0.9006125713577506
524.38,0.8922053894940921
524.58,0.8994604985324259
524.79,0.8998625849572546
524.99,0.9123318199297633
525.19,0.887139758949633
525.39,0.8855077500413586
525.59,0.8857077451176197
525.79,0.887610701016577
526.0,0.8963474268401953
526.2,0.8879125693228891
526.4,0.8913965280095061
526.6,0.8904459317292241
526.8,0.9189943108392549
527.0,0.8834316264613055
527.2,0.8807047523079546
527.41,0.8763200213242659
527.61,0.8923859998056755
527.81,0.8958915456213363
528.01,0.8963624002239969
528.21,0.8979289159957192
528.41,0.872398042254387
528.61,0.8905399849837968
528.82,0.8831900597058587
529.02,0.8869814362468688
529.22,0.8964265116458144
529.42,0.8670573751309992
529.62,0.8664367043827333
529.82,0.8872558648746414
530.02,0.8797822091398203
530.22,0.8738563436390931
530.43,0.8836970874558652
530.63,0.8911706447820745
530.83,0.8925263171418527
531.03,0.8813118408207472
531.23,0.8916120110888522
531.43,0.8712935855877245
531.63,0.8953716921624313
531.83,0.8918310744631709
532.03,0.9023990891340188
532.24,0.8984730084004914
532.44,0.9084252139503508
532.64,0.8988888745952128
532.84,0.8926696915965103
533.04,0.8957744792137452
533.24,0.8952209541152307
533.44,0.9136833839497043
533.64,0.9045220500329777
533.84,0.8956705563553484
534.04,0.9042091685838233
534.25,0.8968066378958178
534.45,0.8787907075228447
534.65,0.8930340989425752
534.85,0.8993560406160916
535.05,0.9078114558296678
535.25,0.8995225037329106
535.45,0.9110192001954799
535.65,0.9073170487855805
535.85,0.8995660484837887
536.05,0.9075830344570361
536.25,0.9002274139539739
536.46,0.902632266157399
536.66,0.8947309710115948
536.86,0.9201246247298617
537.06,0.9073505263876572
537.26,0.9175859724263881
537.46,0.9244588384129524
537.66,0.8973896174197981
537.86,0.9238714930404838
538.06,0.9306658837427095
538.26,0.9072374999285792
538.46,0.9344118310049977
538.66,0.9385060826440006
538.86,0.9340598885873796
539.07,0.9312734669716709
539.27,0.9212748623691146
539.47,0.9280894291392059
539.67,0.9464758068947885
539.87,0.9363726306321822
540.07,0.9383826263885902
540.27,0.9331416889006691
540.47,0.9490104573763969
540.67,0.9526549349063413
540.87,0.9479440105605341
541.07,0.9705321755020987
541.27,0.9385320681103908
541.47,0.9525214709395128
541.67,0.9554791309149719
541.87,0.9547422776033274
542.07,0.9417463536580903
542.27,0.9419965357972072
542.47,0.9319378006471277
542.67,0.9291675577406369
542.87,0.9414272651518223
543.08,0.9434630997654566
543.28,0.9431955971748359
543.48,0.9552434382267787
543.68,0.9650141550366644
543.88,0.966090916403237
544.08,0.9576763514191501
544.28,0.9464446000786699
544.48,0.9637345799682722
544.68,0.9500184179637176
544.88,0.9763622995645119
545.08,0.9738975507653882
545.28,0.9652743106702777
545.48,0.9490059403705324
545.68,0.933420506845962
545.88,0.966314120463543
546.08,0.9701730110966055
546.28,0.9573680972070546
546.48,0.959681966394949
546.68,0.9577946489535768
546.88,0.9623480846891495
547.08,0.9700773859382934
547.28,0.9501552837999555
547.48,0.9414396034344865
547.68,0.9653822414453147
547.88,0.9754330626012737
548.08,0.9696284090165921
548.28,0.9495743484224444
548.48,0.9635551135553619
548.68,0.9518678592719694
548.88,0.9425520166191202
549.08,0.9540485822972488
549.28,0.9476438196993315
549.48,0.9484065214060573
549.68,0.931755033298434
549.88,0.9406826471749615
550.08,0.9209307210374633
550.28,0.9337684088853415
550.48,0.9287242461095436
550.68,0.9107754435429811
550.88,0.9447483356814228
551.08,0.9470522141217387
551.28,0.9423285021445993
551.48,0.948481036403116
551.68,0.9396044478802988
551.88,0.9309950947004111
552.08,0.948889315828476
552.28,0.923526444799726
552.48,0.9153062370781153
552.68,0.9166792470658757
552.88,0.9054538991764243
553.08,0.925254943633931
553.28,0.8742166706050665
553.48,0.9066603067991339
553.68,0.9149550000167473
553.88,0.9267155811087616
554.08,0.9081092203285768
554.28,0.9196449452256011
554.47,0.9247203362286187
554.67,0.9207413132504798
554.87,0.9187909718105352
555.07,0.935210631230235
555.27,0.9098479486580839
555.47,0.9060020490709269
555.67,0.9028053748295876
555.87,0.9050678577185516
556.07,0.8995463409145964
556.27,0.8966334624574417
556.47,0.9030293986081946
556.67,0.8859444241410277
556.87,0.903740287335043
557.07,0.8888942014825056
557.27,0.8739393948252004
557.47,0.9006589137169712
557.67,0.8897738470463715
557.87,0.9059146660348202
558.07,0.9074306837022311
558.26,0.8784347893841346
558.46,0.871603814958846
558.66,0.8888606031855818
558.86,0.8815193595877137
559.06,0.895059870098207
559.26,0.8679365088574793
559.46,0.8840634314822717
559.66,0.8653232056820747
559.86,0.888579062409935
560.06,0.8738953375828009
560.26,0.8807070964486585
560.46,0.8715731540474961
560.66,0.8639244437601864
560.86,0.8669385160990538
561.05,0.8578002582483637
561.25,0.8650430923078738
561.45,0.8697931149596759
561.65,0.8578251055358521
561.85,0.8569814129644864
562.05,0.8640280800369408
562.25,0.8548963304603315
562.45,0.8808351015323995
562.65,0.8754001098518064
562.85,0.8672113656843162
563.05,0.8855015321021126
563.24,0.9015947965593865
563.44,0.8698267548858745
563.64,0.8703415914111718
563.84,0.8731063543721248
564.04,0.8730423369828574
564.24,0.8682728826548497
564.44,0.8754979004188541
564.64,0.8646341826538244
564.84,0.8916379593685875
565.03,0.8873375186616885
565.23,0.8930854554920558
565.43,0.8849306430159286
565.63,0.8773770567918848
565.83,0.8674942619427023
566.03,0.8683299714457863
566.23,0.8813647010725542
566.43,0.8799469567357537
566.63,0.89002966295376
566.82,0.8814862378646006
567.02,0.8797547408229855
567.22,0.8863958119239418
567.42,0.8671778861996966
567.62,0.8657233369258245
567.82,0.8837127319309047
568.02,0.8821195814056465
568.22,0.8827486775223607
568.41,0.8828742148086536
568.61,0.9041406492586768
568.81,0.8962759203074327
569.01,0.8957670839697652
569.21,0.9084514838989457
569.41,0.9093955565720009
569.61,0.9001695005752969
569.8,0.9099263078596669
570.0,0.8855057491682806
570.2,0.9091125617593515
570.4,0.907692049857424
570.6,0.9115766468869682
570.8,0.9066126342348565
571.0,0.9214273096626038
571.19,0.9320860812045432
571.39,0.8991331247199987
571.59,0.9245970502650582
571.79,0.9079684280329929
571.99,0.9267283311270362
572.19,0.9205378537900104
572.38,0.9194207653725553
572.58,0.9219724094626519
572.78,0.922511668358534
572.98,0.9373151379275374
573.18,0.9317751039525465
573.38,0.9362344953134357
573.57,0.9162491143132132
573.77,0.9228521445243195
573.97,0.9194686758600878
574.17,0.9161204711587785
574.37,0.9319241289280369
574.57,0.9351349565539387
574.76,0.9257472829088057
574.96,0.918691232958905
575.16,0.9091122673884756
575.36,0.9387567302715382
575.56,0.9351952439897058
575.75,0.9446414390298449
575.95,0.9259962731936141
576.15,0.9390132872302746
576.35,0.9469451132098279
576.55,0.9349034619765244
576.74,0.9458716292736261
576.94,0.923831900224068
577.14,0.9597384764962082
577.34,0.946884142788445
577.54,0.962300063479813
577.74,0.9479101001954625
577.93,0.95698191732403
578.13,0.9357714589132503
578.33,0.9301615177182566
578.53,0.9284269891837705
578.72,0.9321183332471592
578.92,0.9365754717264332
579.12,0.9482369526303308
579.32,0.9603162246550981
579.52,0.9572685006249407
579.71,0.9473958131948111
579.91,0.9531956201431172
580.11,0.9539463033173571
580.31,0.9577363762852185
