Typical Measured Spectrum of Semrock FF01-446/523/600/677 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
391.2	3.9019e-07
391.4	3.5324e-07
391.6	3.198e-07
391.8	2.8952e-07
392.0	2.6211e-07
392.2	2.3729e-07
392.4	2.1483e-07
392.6	1.9449e-07
392.8	1.7607e-07
393.0	1.594e-07
393.2	1.4431e-07
393.4	1.3065e-07
393.6	1.213e-07
393.8	1.1274e-07
394.0	1.0479e-07
394.2	9.7393e-08
394.4	9.052e-08
394.6	8.4133e-08
394.8	7.8196e-08
395.0	7.2678e-08
395.2	6.755e-08
395.4	6.2783e-08
395.6	5.8353e-08
395.8	5.4235e-08
396.0	5.0408e-08
396.2	4.6851e-08
396.4	4.3545e-08
396.6	4.0472e-08
396.8	3.7616e-08
397.0	3.5871e-08
397.2	3.737e-08
397.4	3.8932e-08
397.6	4.0559e-08
397.8	4.2254e-08
398.0	4.402e-08
398.2	4.5859e-08
398.4	4.7776e-08
398.6	4.9772e-08
398.8	5.1852e-08
399.0	5.4019e-08
399.2	5.6277e-08
399.4	5.8628e-08
399.6	6.1079e-08
399.8	6.3631e-08
400.0	6.629e-08
400.2	6.906e-08
400.4	7.1946e-08
400.6	7.4953e-08
400.8	7.6037e-08
401.0	7.4946e-08
401.2	7.3871e-08
401.4	7.2812e-08
401.6	7.1768e-08
401.8	7.0739e-08
402.0	6.9724e-08
402.2	6.8724e-08
402.4	6.7739e-08
402.6	6.6767e-08
402.8	6.581e-08
403.0	6.4866e-08
403.2	6.3936e-08
403.4	6.3019e-08
403.6	6.2115e-08
403.8	6.1224e-08
404.0	6.0346e-08
404.2	5.9481e-08
404.4	5.8628e-08
404.6	5.9019e-08
404.8	5.9854e-08
405.0	6.0701e-08
405.2	6.1561e-08
405.4	6.2432e-08
405.6	6.3316e-08
405.8	6.4213e-08
406.0	6.5122e-08
406.2	6.6044e-08
406.4	6.6979e-08
406.6	6.7927e-08
406.8	6.8889e-08
407.0	6.9864e-08
407.2	7.0853e-08
407.4	7.1856e-08
407.6	7.2873e-08
407.8	7.3905e-08
408.0	7.4931e-08
408.2	7.4982e-08
408.4	7.5034e-08
408.6	7.5085e-08
408.8	7.5136e-08
409.0	7.5187e-08
409.2	7.5238e-08
409.4	7.529e-08
409.6	7.5954e-08
409.8	1.3041e-07
410.0	2.2392e-07
410.2	2.2588e-07
410.4	1.2953e-07
410.6	7.4275e-08
410.8	1.1484e-07
411.0	1.2372e-07
411.2	9.3474e-08
411.4	7.0721e-08
411.6	7.0348e-08
411.8	6.9976e-08
412.0	6.9638e-08
412.2	6.9335e-08
412.4	6.8964e-08
412.6	6.8596e-08
412.8	6.8217e-08
413.0	6.7827e-08
413.2	6.7439e-08
413.4	6.7083e-08
413.6	6.6672e-08
413.8	6.6215e-08
414.0	6.576e-08
414.2	6.5367e-08
414.4	6.4975e-08
414.6	8.0791e-08
414.8	1.2904e-07
415.0	1.6892e-07
415.2	2.2113e-07
