Wavelength [nm],#38-46832.csv
472.34,0.11206241647582028
472.55,0.1216033221991514
472.75,0.10812074631577921
472.96,0.10935504239681557
473.16,0.10640768185979087
473.37,0.11047801289106901
473.57,0.10828020062005585
473.78,0.10926552528029183
473.98,0.10611924206160696
474.19,0.10638175365448094
474.39,0.10611210269467872
474.6,0.10235046402899256
474.8,0.09832348224836845
475.01,0.08540835262343721
475.21,0.09648286290622057
475.42,0.08888480066501776
475.62,0.09786761590790673
475.83,0.09208264817330379
476.03,0.09085486574112718
476.24,0.08840042689518039
476.44,0.07485462623670826
476.64,0.07222031345980384
476.85,0.0742649374189917
477.05,0.06931759252161131
477.26,0.08066078138129412
477.46,0.08660558523410179
477.67,0.07354299946545323
477.87,0.058686578526882346
478.08,0.06757248050735708
478.28,0.06769737963962941
478.49,0.07353550378175273
478.69,0.07065161947926595
478.9,0.0670034267752892
479.1,0.06686475933183605
479.3,0.06369317224034514
479.51,0.06550719301520254
479.71,0.06002780111708761
479.92,0.06587036564927928
480.12,0.0698253026907032
480.33,0.05672106806868939
480.53,0.0661418846881981
480.74,0.05635597228219522
480.94,0.0589223390060066
481.14,0.05720143159943015
481.35,0.06204306991534392
481.55,0.05621322535196833
481.76,0.05077734953667618
481.96,0.04602459600788233
482.17,0.05264824053804645
482.37,0.04151930300291998
482.57,0.045272092828158625
482.78,0.04797640157556518
482.98,0.043276878829303346
483.19,0.04568589138781421
483.39,0.05383205356289695
483.6,0.04591951451039308
483.8,0.044920842131733786
484.0,0.036943494035406296
484.21,0.03593990984040477
484.41,0.03569074913896439
484.62,0.03972227881692044
484.82,0.0317144506096893
485.02,0.03619404236373276
485.23,0.03312117921700091
485.43,0.029397688580293554
485.64,0.03306281500421673
485.84,0.035409098135373074
486.05,0.03531151217807578
486.25,0.03312117921700091
486.45,0.0264140615118572
486.66,0.02593138779372867
486.86,0.021550900766285318
487.07,0.033263695558055834
487.27,0.029835655013006335
487.47,0.028073770901655474
487.68,0.026882994701833734
487.88,0.029074774737317288
488.09,0.022023609113076843
488.29,0.02421752574084424
488.49,0.026917577437862307
488.7,0.023284439162190484
488.9,0.01800118419697354
489.1,0.01904683582312205
489.31,0.01970684878019001
489.51,0.021401806710513338
489.72,0.020944369439980574
489.92,0.021330982646139512
490.12,0.014032246283611056
490.33,0.02081586557914424
490.53,0.020035319782540955
490.74,0.018117011076809072
490.94,0.014048484336004311
491.14,0.014905050753065
491.35,0.020976591019009984
491.55,0.015997237045758696
491.75,0.011015654079048113
491.96,0.016846762269539673
492.16,0.014117823135708151
492.36,0.014958433253883453
492.57,0.01783273923306024
492.77,0.017427929693008493
492.98,0.011352325243670943
