Wavelength [nm],#5-Filtre-vert.csv
502.94,0.033237903236545026
503.14,0.032394311115746116
503.34,0.03538864336475056
503.55,0.03859959930490604
503.75,0.04339208718684876
503.95,0.04342437336068305
504.16,0.04923869758725698
504.36,0.048512962372623675
504.56,0.047161080559766005
504.76,0.0515696144140949
504.97,0.04797930640321057
505.17,0.05070129215935956
505.37,0.055571744396561394
505.58,0.057519834381440635
505.78,0.05916228788031312
505.98,0.05979556283015275
506.18,0.07125627525721935
506.39,0.057446127450352755
506.59,0.07461678365932307
506.79,0.06906573319187942
507.0,0.07617540333863909
507.2,0.08123309257071837
507.4,0.08341847998767954
507.6,0.0951847311678208
507.81,0.09344593098334673
508.01,0.10338261866366162
508.21,0.09766050230758298
508.41,0.10587726647892493
508.62,0.11131618877624082
508.82,0.11705658131667428
509.02,0.11895019667134801
509.23,0.1261814929941087
509.43,0.1324412185006591
509.63,0.1410406389280116
509.83,0.13922518807023104
510.04,0.14643564911528045
510.24,0.15316082985143523
510.44,0.17026575279564687
510.64,0.17211183429849392
510.85,0.17019686592319003
511.05,0.18757666790930932
511.25,0.1851380197943529
511.45,0.19366333524944468
511.66,0.20394394457453754
511.86,0.20810352352753825
512.06,0.21495398682366068
512.26,0.2285075737376755
512.46,0.23441845946278025
512.67,0.24542368180100677
512.87,0.249491670815734
513.07,0.25860299327907926
513.27,0.2690453465201006
513.48,0.26845412915892386
513.68,0.27056627001342365
513.88,0.2905798331348596
514.08,0.2905315738970063
514.29,0.2956797644868306
514.49,0.297328847296373
514.69,0.30777109050439466
514.89,0.3309557781022397
515.09,0.32439070689836147
515.3,0.3404324856995897
515.5,0.34780444734257326
515.7,0.3498695608586371
515.9,0.36303054786173894
516.11,0.35683782686111243
516.31,0.37637632357771217
516.51,0.3864490966108433
516.71,0.39915421036543125
516.91,0.3959629771321445
517.12,0.40184813930132074
517.32,0.4008022998860335
517.52,0.4321658448706322
517.72,0.41549388578815183
517.92,0.44156040613381176
518.13,0.4603288722936667
518.33,0.46850943823249025
518.53,0.4776573368199553
518.73,0.4758335681571324
518.93,0.4927305834542398
519.14,0.5119720461069099
519.34,0.5125568419491612
519.54,0.5388227968532019
519.74,0.5544776398263971
519.94,0.5584461387118838
520.15,0.5797960915083039
520.35,0.588522560632986
520.55,0.6034961923425806
520.75,0.6215448908388682
520.95,0.6313996665859465
521.16,0.6391615771389602
521.36,0.6645313890785054
521.56,0.6735743611516842
521.76,0.6957318540599462
521.96,0.7080150727766741
522.16,0.7225418107635594
522.37,0.7283244343247588
522.57,0.7582049649024907
522.77,0.780472032187795
522.97,0.7964463049797678
523.17,0.7939180810012718
523.37,0.8035462962341192
523.58,0.8260235666148553
523.78,0.8264708490030801
523.98,0.845805998431912
524.18,0.8594220037093517
524.38,0.869419536866827
524.58,0.8734269764839425
524.79,0.889991426847893
524.99,0.9029348523308098
525.19,0.9043594458737415
525.39,0.8988633840910967
525.59,0.8998860456759453
525.79,0.9054883392641826
526.0,0.8978669410017003
526.2,0.8958880211210681
526.4,0.8978610203898926
526.6,0.9078456955134062
526.8,0.9040664331619359
527.0,0.8846047756917955
527.2,0.8816633748340514
527.41,0.8741967598877727
527.61,0.8801180037835225
527.81,0.8744761609120797
528.01,0.8826326327323042
528.21,0.8658618555257906
528.41,0.8478632369031351
528.61,0.8454682140947719
528.82,0.8554706186572952
529.02,0.826669660636553
529.22,0.8316660528523311
529.42,0.7952955957493874
529.62,0.7845248394924564
529.82,0.7944957612833511
530.02,0.770013550233247
530.22,0.758603547802221
530.43,0.7768557464075512
530.63,0.7614289820909007
530.83,0.7574536522808579
531.03,0.7466160505898116
531.23,0.7394809570704223
531.43,0.7255540642226251
531.63,0.7309403865392285
531.83,0.7221710454438292
532.03,0.726912434746794
532.24,0.7174291275248531
532.44,0.7010195433291501
532.64,0.7025187146450795
532.84,0.6909225832956708
533.04,0.6891259135856571
533.24,0.6844855696953014
533.44,0.7077611726059826
533.64,0.6771732095285435
533.84,0.6913139141647938
534.04,0.6979395782676561
534.25,0.6857735109958515
534.45,0.6932318341831439
534.65,0.6857209453961494
534.85,0.6829608890443477
535.05,0.6884997612770881
535.25,0.6927769190979606
535.45,0.700395136267951
535.65,0.7027090111565162
535.85,0.6909889295567316
536.05,0.702784462731165
536.25,0.6963396983079015
536.46,0.7032857714289902
536.66,0.7088752304529076
536.86,0.7211897278306492
537.06,0.7203358481701505
537.26,0.7288759739719339
537.46,0.7308576328598618
537.66,0.7262317027973235
537.86,0.749129266095434
538.06,0.7501194176798115
