Typical Measured Spectrum of Semrock LP02-633RE Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
423.2	0.72611
423.4	0.70989
423.6	0.67172
423.8	0.63225
424	0.61061
424.2	0.6121
424.4	0.63891
424.6	0.68367
424.8	0.7305
425	0.75614
425.2	0.74603
425.4	0.7093
425.6	0.66594
425.8	0.63608
426	0.63029
426.2	0.65157
426.4	0.69394
426.6	0.74554
426.8	0.78289
427	0.78664
427.2	0.75407
427.4	0.70681
427.6	0.66915
427.8	0.6522
428	0.66221
428.2	0.69756
428.4	0.75072
428.6	0.79902
428.8	0.81666
429	0.79524
429.2	0.74977
429.4	0.70241
429.6	0.67383
429.8	0.67182
430	0.69791
430.2	0.74681
430.4	0.80201
430.6	0.8377
430.8	0.83402
431	0.79361
431.2	0.74114
431.4	0.69962
431.6	0.68176
431.8	0.69266
432	0.73213
432.2	0.78894
432.4	0.84034
432.6	0.86063
432.8	0.83902
433	0.78813
433.2	0.73639
433.4	0.70162
433.6	0.69632
433.8	0.71974
434	0.76721
434.2	0.82488
434.4	0.86746
434.6	0.86855
434.8	0.82896
435	0.77243
435.2	0.72306
435.4	0.69751
435.6	0.70173
435.8	0.73569
436	0.79615
436.2	0.85823
436.4	0.89201
436.6	0.87769
436.8	0.82377
437	0.76014
437.2	0.71174
437.4	0.69384
437.6	0.70772
437.8	0.75207
438	0.81424
438.2	0.87294
438.4	0.8964
438.6	0.8693
438.8	0.80985
439	0.7466
439.2	0.70462
439.4	0.69245
439.6	0.71351
439.8	0.76344
440	0.82852
440.2	0.8814
440.4	0.89426
440.6	0.85651
440.8	0.79148
441	0.72863
441.2	0.6898
441.4	0.68229
441.6	0.70702
441.8	0.7603
442	0.82669
442.2	0.87984
442.4	0.88812
442.6	0.84623
442.8	0.77935
443	0.71698
443.2	0.67901
443.4	0.67288
443.6	0.69846
443.8	0.75287
444	0.81829
444.2	0.8705
444.4	0.87646
444.6	0.83375
444.8	0.76662
445	0.70379
445.2	0.66624
445.4	0.65978
445.6	0.68454
445.8	0.73715
446	0.80297
446.2	0.85377
446.4	0.86291
446.6	0.82125
446.8	0.75545
447	0.69417
447.2	0.6569
447.4	0.64926
447.6	0.67293
447.8	0.72321
448	0.78604
448.2	0.83496
448.4	0.84157
448.6	0.79823
448.8	0.73092
449	0.66856
449.2	0.62951
449.4	0.61986
449.6	0.64088
449.8	0.68962
450	0.75395
450.2	0.80965
450.4	0.82415
450.6	0.78842
450.8	0.72165
451	0.65666
451.2	0.61231
451.4	0.59704
451.6	0.61217
451.8	0.65596
452	0.71947
452.2	0.77955
452.4	0.80317
452.6	0.7751
452.8	0.71103
453	0.64246
453.2	0.59227
453.4	0.57022
453.6	0.57921
453.8	0.6162
454	0.67626
454.2	0.74077
454.4	0.77937
454.6	0.76564
454.8	0.70917
455	0.63908
455.2	0.58313
455.4	0.55234
455.6	0.55241
455.8	0.58178
456	0.63645
456.2	0.70215
456.4	0.75181
456.6	0.75374
456.8	0.70533
457	0.63472
457.2	0.57154
457.4	0.53272
457.6	0.52289
457.8	0.5431
458	0.58995
458.2	0.65649
458.4	0.71656
458.6	0.73804
458.8	0.702
459	0.63343
459.2	0.56377
459.4	0.51464
459.6	0.49315
459.8	0.50246
460	0.54024
460.2	0.60197
460.4	0.67161
460.6	0.71568
460.8	0.7039
461	0.6399
461.2	0.56393
461.4	0.50487
461.6	0.4722
461.8	0.46952
462	0.49609
462.2	0.54927
462.4	0.62068
462.6	0.68085
462.8	0.69514
463	0.64882
463.2	0.5734
463.4	0.5047
463.6	0.46027
463.8	0.44406
464	0.45748
464.2	0.49953
464.4	0.56585
464.6	0.63782
464.8	0.67773
465	0.65575
465.2	0.58579
465.4	0.50848
465.6	0.45052
465.8	0.42148
466	0.42048
466.2	0.44977
466.4	0.50703
466.6	0.5834
466.8	0.64825
467	0.66069
467.2	0.60606
467.4	0.52407
467.6	0.45215
467.8	0.40792
468	0.3921
468.2	0.40539
468.4	0.44843
468.6	0.51834
468.8	0.59658
469	0.64234
469.2	0.61945
469.4	0.54335
469.6	0.46215
469.8	0.40267
470	0.3737
470.2	0.37303
470.4	0.4031
470.6	0.46234
470.8	0.54571
471	0.62496
471.2	0.62318
471.4	0.54703
471.6	0.45701
471.8	0.38893
472	0.35237
472.2	0.34454
472.4	0.36647
472.6	0.419
472.8	0.50071
473	0.58505
473.2	0.61942
473.4	0.57068
473.6	0.47726
473.8	0.39399
474	0.34274
474.2	0.32149
474.4	0.32883
474.6	0.36772
474.8	0.43856
475	0.53321
475.2	0.60337
475.4	0.58996
475.6	0.49969
475.8	0.402
476	0.33403
476.2	0.29946
476.4	0.29415
476.6	0.31741
