Typical Measured Spectrum of Semrock FF01-750/SP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
542.6	0.99369
542.8	0.9937
543.0	0.99316
543.2	0.99211
543.4	0.9911
543.6	0.98996
543.8	0.98899
544.0	0.98796
544.2	0.98681
544.4	0.98578
544.6	0.9852
544.8	0.9841
545.0	0.98346
545.2	0.98335
545.4	0.98358
545.6	0.98429
545.8	0.98435
546.0	0.98555
546.2	0.98622
546.4	0.98757
546.6	0.98854
546.8	0.98952
547.0	0.99077
547.2	0.99171
547.4	0.99255
547.6	0.9929
547.8	0.99361
548.0	0.99383
548.2	0.99403
548.4	0.99324
548.6	0.99272
548.8	0.9919
549.0	0.99061
549.2	0.98997
549.4	0.98826
549.6	0.98771
549.8	0.98597
550.0	0.98547
550.2	0.98385
550.4	0.98292
550.6	0.98229
550.8	0.98211
551.0	0.98188
551.2	0.98164
551.4	0.98195
551.6	0.9822
551.8	0.98273
552.0	0.98331
552.2	0.98354
552.4	0.98481
552.6	0.98608
552.8	0.98688
553.0	0.98791
553.2	0.98845
553.4	0.98921
553.6	0.99003
553.8	0.99016
554.0	0.99019
554.2	0.98999
554.4	0.99025
554.6	0.98986
554.8	0.98935
555.0	0.9891
555.2	0.98844
555.4	0.9882
555.6	0.98776
555.8	0.98736
556.0	0.98692
556.2	0.98653
556.4	0.98657
556.6	0.98634
556.8	0.98681
557.0	0.98698
557.2	0.98813
557.4	0.98824
557.6	0.98894
557.8	0.98955
558.0	0.99044
558.2	0.99102
558.4	0.99223
558.6	0.99265
558.8	0.99333
559.0	0.99369
559.2	0.99464
559.4	0.99424
559.6	0.99431
559.8	0.99461
560.0	0.9944
560.2	0.99411
560.4	0.99366
560.6	0.99311
560.8	0.99313
561.0	0.99227
561.2	0.99213
561.4	0.99152
561.6	0.99066
561.8	0.99054
562.0	0.99004
562.2	0.98996
562.4	0.98987
562.6	0.98963
562.8	0.98964
563.0	0.98946
563.2	0.98924
563.4	0.98988
563.6	0.98945
563.8	0.99012
564.0	0.99023
564.2	0.98974
564.4	0.9899
564.6	0.98981
564.8	0.98967
565.0	0.98945
565.2	0.98928
565.4	0.9886
565.6	0.98799
565.8	0.98768
566.0	0.98682
566.2	0.9862
566.4	0.98552
566.6	0.98498
566.8	0.98436
567.0	0.98406
567.2	0.98391
567.4	0.98386
567.6	0.98396
567.8	0.98401
568.0	0.98402
568.2	0.98436
568.4	0.98464
568.6	0.98525
568.8	0.986
569.0	0.98643
569.2	0.98738
569.4	0.98837
569.6	0.98882
569.8	0.98941
570.0	0.99002
570.2	0.99024
570.4	0.99047
570.6	0.99097
570.8	0.99066
571.0	0.99049
571.2	0.9901
571.4	0.98958
571.6	0.98934
571.8	0.98883
572.0	0.9884
572.2	0.98759
572.4	0.98718
572.6	0.98706
572.8	0.9859
573.0	0.98598
573.2	0.98612
573.4	0.9858
573.6	0.9857
573.8	0.98611
574.0	0.98711
574.2	0.98745
574.4	0.98795
574.6	0.9891
574.8	0.9903
575.0	0.99158
575.2	0.99293
575.4	0.99364
575.6	0.99472
575.8	0.99601
576.0	0.99698
576.2	0.99761
576.4	0.99843
576.6	0.99838
576.8	0.99812
577.0	0.99815
577.2	0.99723
577.4	0.99654
