Typical Measured Spectrum of Semrock LP02-1064RU Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
496.4	0.82431
496.6	0.81923
496.8	0.79889
497.0	0.77074
497.2	0.74172
497.4	0.71796
497.6	0.70336
497.8	0.69988
498.0	0.70797
498.2	0.72469
498.4	0.74745
498.6	0.77099
498.8	0.78779
499.0	0.7939
499.2	0.78704
499.4	0.76786
499.6	0.74283
499.8	0.71781
500.0	0.69386
500.2	0.68305
500.4	0.68528
500.6	0.69559
500.8	0.71338
501.0	0.73416
501.2	0.75068
501.4	0.76073
501.6	0.76049
501.8	0.74951
502.0	0.73168
502.2	0.7116
502.4	0.69335
502.6	0.67934
502.8	0.6738
503.0	0.6757
503.2	0.68431
503.4	0.69826
503.6	0.7134
503.8	0.72663
504.0	0.73335
504.2	0.73202
504.4	0.72319
504.6	0.70913
504.8	0.69194
505.0	0.67607
505.2	0.66569
505.4	0.66067
505.6	0.6623
505.8	0.66892
506.0	0.67999
506.2	0.6916
506.4	0.70037
506.6	0.70437
506.8	0.70209
507.0	0.69309
507.2	0.6791
507.4	0.66457
507.6	0.65131
507.8	0.64147
508.0	0.63735
508.2	0.63974
508.4	0.64698
508.6	0.65814
508.8	0.67018
509.0	0.68161
509.2	0.68759
509.4	0.68681
509.6	0.67943
509.8	0.66721
510.0	0.65179
510.2	0.63709
510.4	0.62573
510.6	0.61952
510.8	0.61874
511.0	0.6228
511.2	0.63191
511.4	0.64462
511.6	0.65688
