XF3017R,,
Wavelength (nm),%T,
592,-0.000653836003,
591,-0.0004281712463,
590,0.0007212855853,
589,0.0002599466534,
588,0.0005984820309,
587,0.0004934910685,
586,0.0005413405015,
585,0.0003485671768,
584,0.0007904319209,
583,2.691968803E-5,
582,0.0004187857558,
581,0.0006449942011,
580,-0.0001401677146,
579,0.0008252618718,
578,0.0002260338515,
577,0.001189364819,
576,0.0006886099,
575,0.0006908494979,
574,0.0004905229434,
573,0.0004048160918,
572,0.0008101945277,
571,0.001127507654,
570,0.0002874212805,
569,0.001013946137,
568,0.001031865482,
567,0.001218685647,
566,0.001719436143,
565,0.002596024657,
564,0.003128498094,
563,0.006022558082,
562,0.009500626475,
561,0.01602561213,
560,0.02925496921,
559,0.05080763996,
558,0.09661518037,
557,0.1922550946,
556,0.400167644,
555,0.8807794452,
554,2.080111265,
553,5.201066494,
552,12.98361301,
551,29.51396751,
550,53.70721817,
549,76.52679443,
548,89.22471619,
547,93.1096344,
546,93.81851196,
545,94.25718689,
544,94.70959473,
543,94.87094116,
542,94.70521545,
541,94.4952774,
540,94.48601532,
539,94.72898865,
538,95.04375458,
537,95.24650574,
536,95.23839569,
535,95.26041412,
534,95.41661072,
533,95.63837433,
532,95.71425629,
531,95.69498444,
530,95.6595459,
529,95.5728302,
528,95.3204422,
527,95.09806824,
526,94.87134552,
525,94.26973724,
524,88.52836609,
523,66.34831238,
522,31.45780945,
521,7.433389187,
520,0.7119644284,
519,0.1071082279,
518,0.02373210713,
517,0.00366240344,
516,0.0002856804931,
515,0.001249903813,
514,0.001282494981,
513,-0.0003081415198,
512,0.0008168352651,
511,-2.926793422E-5,
510,0.0002063377033,
509,0.0001482394146,
508,0.0001265173923,
507,0.0004327519564,
506,6.365132867E-5,
505,0.0003355605586,
504,0.00016096943,
503,-1.949414582E-5,
502,0.0005608711508,
501,0.0002994239039,
500,0.0002362900705,
499,0.0005762146902,
498,0.0006950056995,
497,0.0003541782207,
496,0.0005514800432,
495,0.0004243855656,
494,7.55616129E-5,
493,0.0005723681534,
492,0.0001700141875,
491,0.000161956501,
490,0.0001825324434,
489,-7.23176563E-5,
488,0.0005459664389,
487,2.320384556E-5,
486,7.790511881E-5,
485,0.0007118411595,
484,0.0001127341311,
483,0.0001942379167,
482,0.0005685182405,
481,-0.0002468774328,
480,0.0003397132677,
479,-4.85032615E-5,
478,0.0004484610108,
477,0.0001530372538,
476,0.0001534765761,
475,0.0003207715054,
474,0.0001431162818,
473,4.999017256E-5,
472,0.0003030301013,
471,0.000295500271,
470,0.0004699246492,
469,-0.0001426483941,
468,0.0005474911886,
467,1.16189749E-5,
466,0.0003132625134,
465,0.000311009062,
464,0.0002249753452,
463,0.0004889816628,
462,0.0006430639769,
461,0.0002088212786,
460,6.185355596E-5,
459,0.0001176660735,
458,0.0002197898284,
457,0.000433248264,
456,0.0004128073342,
455,0.0003283887636,
454,-0.0001957843051,
453,0.0005699208705,
452,0.0002963783918,
451,-0.0004279705172,
450,0.0002774267341,
449,0.0001700016437,
448,0.0002415176132,
447,0.0003404126037,
446,2.257282176E-5,
445,0.000178664166,
